	index	username	gender	year	field	beerslaw	jade_label	flag_jade_label
0	434	bezdgyya	1.0	2nd	Chemistry	Wir haben es im Unterricht behandelt und auch eine Test geschrieben, ohne der Formel ist es schwierig, da die Formel im Internet für mich nicht so gut erklärt bis zu schwierig dargestellt werden.	rusty,in class	1
1	435	y7p64n6z	4.0	2nd	Chemistry	Eher nicht so 	heard about,no mention	
2	436	892r4czm	1.0	2nd	Chemistry	"Einigermassen
Schon mal angeschaut und Grundprinzipien verstanden aber schon länger her."	rusty,no mention	
3	437	uhbpoog9	1.0	1st	Chemistry	Ich habe es fast nicht gekannt	don't know,no mention	
4	438	bed4zkv2	1.0	1st	Chemistry	Über haubt nicht ich wusste noch nichts davon.	don't know,no mention	
5	439	ytrbygud	1.0	1st	Chemistry	"Gar nicht vertraut.
"	don't know,no mention	
6	440	vqebanqv	2.0	1st	Chemistry	garnicht	don't know,no mention	
7	441	mwfdr4ys	2.0	1st	Chemistry	noch nie davon gehört	don't know,no mention	
8	442	r2e3h3tm	2.0	2nd	Chemistry	missing	unknown	
9	443	8ga2zn5h	2.0	2nd	Chemistry	Gar nicht	don't know,no mention	
10	444	3qwayak9	2.0	2nd	Chemistry	Am Anfang fiel es mir sehr schwer, denn ich wusste nicht ob ich es multiplizieren oder dividieren musste. Doch später konnte ich ungefähr einschätzen und die Aufgaben einigermassen lösen.	don't know,no mention	
11	445	fh76v5qx	2.0	2nd	Chemistry, Textiles	missing	unknown	
12	446	6tgyhcuh	2.0	2nd	Chemistry, Textiles	Nicht ganz	don't know,no mention	
13	447	d72hfax6	2.0	2nd	Chemistry, Textiles	missing	unknown	
14	448	fryxwskq	2.0	2nd	Chemistry	missing	unknown	
15	449	favvtnnf	1.0	2nd	Chemistry	fast nicht	don't know,no mention	
16	450	qvna6pyz	2.0	3rd	Chemistry	gut	know,no mention	
17	451	addf7f7d	1.0	1st	Chemistry	"Vaguement
"	heard about,no mention	
18	452	9sgu2tbg	1.0	1st	Chemistry	Ui	yes,no mention	
19	453	k7p5eryf	4.0	2nd	Biology	--	unknown	
20	454	pesfpzbv	2.0	2nd	Biology	relativ	know,no mention	
21	455	jpccnav5	1.0	1st	Pharma Chemistry	"So sehr wie mit der Geschichte von China
-Gar nicht"	don't know,no mention	1
22	456	xtnmv9qf	2.0	1st		oui, mais je ne me suivins pas	forgot,no mention	
23	457	r78kg7d3	1.0	2nd	Chemistry	Minimal, kurz im Kurs mal davon gehört und angeschaut, aber nicht detailliert. Schon einige Monate her.	heard about,in class	
24	458	uqzxsym7	1.0	2nd	Chemistry	missing	unknown	
25	459	8jp62suc	2.0	2nd	Chemistry	missing	unknown	
26	460	63v3czy6	2.0	2nd	Chemistry	missing	unknown	
27	461	88kjzd8b	2.0	3rd	Chemistry	Schon ziemlich gut, habe schon einige Aufgaben dazu gelöst und auch schon damit im Labor gearbeitet.	know,can use,at work	
28	462	7hrf6cdu	2.0	3rd	Chemistry	schon angewant, brauche ich nicht sehr oft	can use,no mention	
29	463	vwfpuqaz	2.0	3rd	Chemistry	Relativ gut	know,no mention	
30	464	3w54b2bu	1.0	3rd	Chemistry	missing	unknown	
31	465	s78drqcg	3.0	2nd	Biology	Oui	yes,no mention	
32	466	8rtwmb8t	1.0	2nd	Biology	missing	unknown	
33	467	uthx49rq	1.0	2nd	Biology	oui	yes,no mention	
34	468	bjy2zpww	2.0	2nd		missing	unknown	
35	469	zy256ycq	3.0	2nd	Chemistry	Wir haben das Lambert-Beer'sche Gesetz vor ein Paar Jahren in der Schule einmal behandelt. Daraufhin wurde es anfangs Lehre nocheinmal behandelt. Jedoch nur 1-2 mal angewendet. 	know,can use,in class	
36	470	fu6nsdhs	1.0	2nd	Chemistry	nicht gross	know,no mention	
37	471	m3d89p29	1.0	3rd	Chemistry, Textiles	"In der Praxis eine Seltenheit.
Theorie ist mir mehrheitlich bekannt."	know,can use,no mention	
38	472	5h9umyr6	1.0	3rd	Chemistry, Textiles	sehr sehr wenig	heard about,no mention	
39	473	4b4dkjuw	1.0	3rd	Chemistry, Textiles	Theoretisch, in der Schule. Praktisch kaum auf der Arbeit habe einmal Ethanol im UV/Vis gemessen	know,in class	
40	474	46bty2zg	2.0	1st	Fast track	missing	unknown	
41	475	z8hvrhwb	1.0	1st	Fast track	Oui	yes,no mention	
42	476	my6csh6m	2.0	1st	Chemistry	"gar nicht,
es wurde bis jz nur einmal kurz als exkurs angesprochen"	heard about,in class	
43	477	krd7m9vb	1.0	1st	Chemistry	bissle	heard about,no mention	
44	478	yc3vmnuf	2.0	1st	Chemistry, Textiles	Naja, könnte besser sein	know,no mention	
45	479	2ae6q3hw	1.0	3rd	Chemistry, Textiles	Nicht sehr vertraut. Ich bin Textillaborant. 	don't know,no mention	
46	480	2hr6mkdc	1.0	3rd	Chemistry, Textiles	"In der Berufsschule schon damit gerechnet
1-2 Messungen mit einem UV-Vis Gerät gemacht"	can use,in class,at work	
47	481	8nh4zvcp	1.0	3rd	Chemistry, Textiles	Nicht so sehr damit vertraut.	don't know,no mention	
48	482	s2up6gmm	1.0	3rd	Chemistry, Textiles	Eigentlich vertraut, allerdings war es schon eine Weile her als wir dieses Thema besprochen hatten.	rusty,no mention	
49	483	47ce49e4	2.0	3rd	Chemistry, Textiles	Im Unterricht durchgenommen, aber im Laboraltag noch nie benutzt. 	know,in class	
50	484	fj5tdybn	1.0	3rd	Chemistry, Textiles	Halb-halb wir hatten es vor etwa 1.5 Jahren im Unterricht, seit dort habe ich mich nicht mehr damit befasst. In meinem Lehrbetrieb arbeite ich nie mit Absorption.	rusty,in class	
